Date,snp_close,btc_close
2021-11-03,4663.5,63175.512385758026
2021-11-04,4683,62941.48199104164
2021-11-05,4718.5,61367.933830973
2021-11-08,4714.9,63180.13308079259
2021-11-09,4708.5,67500.0247355689
2021-11-10,4684.9,66913.3364
2021-11-11,4664.6,64871.25216133435
2021-11-12,4688.5,64800.36101601352
2021-11-15,4697.4,65255.04686152799
2021-11-16,4714.9,63715.76977568518
2021-11-17,4701.5,60189.9985
2021-11-18,4708.8,60338.9249
2021-11-19,4717.8,56749.2716
2021-11-22,4743.8,58681.09230984937
2021-11-23,4699.4,56369.5245
2021-11-24,4702.9,57672.52894264075
2021-11-26,4664.6,58907.050757878096
2021-11-29,4672.9,57158.66834037815
2021-11-30,4646,57876.49423835674
2021-12-01,4652.9,57030.12565284342
2021-12-02,4595.5,57173.0795
2021-12-03,4608,56405.66892064036
2021-12-06,4612.6,49217.9124
2021-12-07,4694,50453.04698120852
2021-12-08,4705.1,50559.947613629454
2021-12-09,4695.3,50471.21695775764
2021-12-10,4713.6,47834.99429351777
2021-12-13,4710.3,50116.99176196779
2021-12-14,4660.5,46745.6254
2021-12-15,4712.6,48395.29567064738
2021-12-16,4732,48787.2417
2021-12-17,4666.7,47709.1644
2021-12-20,4587.9,46686.4963
2021-12-21,4651.1,46878.42809013247
2021-12-22,4697.7,48938.9095
2021-12-23,4740.7,48648.506046031885
2021-12-27,4791.5,50799.97886066186
2021-12-28,4807,50650.17144492962
2021-12-29,4804.1,47637.8884
2021-12-30,4808.9,46408.30267099845
2021-12-31,4786.8,47161.0092
2022-01-03,4796.6,47313.6322
2022-01-04,4818.6,46424.346
2022-01-05,4797.7,45884.4596581148
2022-01-06,4725,43529.7281
2022-01-07,4707.9,43119.06385915039
2022-01-10,4673,41880.90095265793
2022-01-11,4714.1,41786.2184
2022-01-12,4748.8,42674.2972
2022-01-13,4744.1,43900.027
2022-01-14,4665.1,42580.3303
2022-01-18,4632.2,42199.0091087438
2022-01-19,4611.6,42352.1359
2022-01-20,4602.1,41676.49877717717
2022-01-21,4494.5,40673.94411547012
2022-01-24,4417.4,36231.1426
2022-01-25,4411,36705.9179
2022-01-26,4453.2,36948.63102657288
2022-01-27,4428.7,36775.52950357352
2022-01-28,4432.7,37201.84234665862
2022-01-31,4516.9,37937.339
2022-02-01,4550.5,38472.00623585542
2022-02-02,4595.3,38761.9683
2022-02-03,4542.9,36835.9015
2022-02-04,4539.7,37027.78
2022-02-07,4521.9,42388.07234245959
2022-02-08,4531.3,43905.99797776678
2022-02-09,4590,44082.39258092253
2022-02-10,4588.9,44283.9142
2022-02-11,4526.33,43524.3779183224
2022-02-14,4426.22,42235.5136
2022-02-15,4472.77,42594.94190251804
2022-02-16,4489.55,44602.5315
2022-02-17,4456.06,43997.7116
2022-02-18,4394.6,40491.0412
2022-02-22,4362.12,37003.15355791065
2022-02-23,4341.51,38302.8439
2022-02-24,4294.73,37287.4863427188
2022-02-25,4385.34,38296.16592688904
2022-02-28,4388.84,37714.48388805459
2022-03-01,4378.45,43181.1437
2022-03-02,4401.48,44359.8712
2022-03-03,4416.78,43938.47684298478
2022-03-04,4342.12,42450.88343194115
2022-03-07,4327.01,38385.18524878165
2022-03-08,4276.94,37991.87947414978
2022-03-09,4299.4,38724.82008947423
2022-03-10,4268.28,41955.06531614912
2022-03-11,4291.01,39461.35101564641
2022-03-14,4247.57,37824.35153256323
2022-03-15,4271.05,39599.024365049096
2022-03-16,4358.9,39302.01678630948
2022-03-17,4412.67,41147.27988596017
2022-03-18,4465.4,40958.22516015476
2022-03-21,4481.75,41252.05198823504
2022-03-22,4522,41051.83345848992
2022-03-23,4501.07,42376.74421839415
2022-03-24,4520.58,42925.97797981788
2022-03-25,4546.03,43948.891125071685
2022-03-28,4575.65,46842.71955202185
2022-03-29,4637.3,46888.22115087928
2022-03-30,4627.77,47498.66565132898
2022-03-31,4603.07,47100.45937112435
2022-04-01,4548.7,45540.826387141926
2022-04-04,4583.5,46430.696713233774
2022-04-05,4593.45,46605.60296925792
2022-04-06,4503.94,45573.53741324558
2022-04-07,4521.16,43138.51946866405
2022-04-08,4520.41,43480.17472136096
2022-04-11,4464.35,42242.7841
2022-04-12,4471,39456.93304169156
2022-04-13,4453.92,40169.21512314615
2022-04-14,4460.46,41160.0481
2022-04-18,4410.31,39678.0001
2022-04-19,4471.03,40826.6711
2022-04-20,4488.29,41504.4185
2022-04-21,4512.94,41363.50366362778
2022-04-22,4385.83,40528.7777
2022-04-25,4299.02,39479.99697027191
2022-04-26,4278.14,40475.27521135543
2022-04-27,4240.71,38026.746255595535
2022-04-28,4308.45,39248.43928178208
2022-04-29,4269.68,39749.9386
2022-05-02,4169.81,38467.094
2022-05-03,4200.1,38503.90959019409
2022-05-04,4307.66,37732.2997523189
2022-05-05,4270.43,39699.0339591762
2022-05-06,4157.69,36568.7596
2022-05-09,4081.27,33933.54281002884
2022-05-10,4068.82,30363.865616615807
2022-05-11,4049.09,31024.7033
2022-05-12,3964.8,28984.5358
2022-05-13,4038.88,29130.0386
2022-05-16,4046.46,31333.765617069977
2022-05-17,4090.72,29880.548164234533
2022-05-18,4051.98,30452.624328329548
2022-05-19,3945.96,28760.1539
2022-05-20,3943.42,30376.331478606928
2022-05-23,3981.88,30366.04222096173
2022-05-24,3955.68,29114.081131154417
2022-05-25,3999.33,29674.1123
2022-05-26,4075.14,29557.533735644305
2022-05-27,4158.49,29353.619262832577
2022-05-31,4168.34,31720.0295
2022-06-01,4166.54,31852.83438318997
2022-06-02,4177.51,29789.42113357093
2022-06-03,4142.67,30441.46505023028
2022-06-06,4168.78,29909.210373336216
2022-06-07,4164.86,31367.42259841491
2022-06-08,4160.14,31193.0692
2022-06-09,4119.1,30204.54858260606
2022-06-10,3974.39,30111.70675013388
2022-06-13,3838.15,26704.72935717625
2022-06-14,3778.18,22509.0994
2022-06-15,3837.56,22209.515
2022-06-16,3728.18,22490.59072731445
2022-06-17,3707.71,20383.6889
2022-06-21,3779.65,20672.8011
2022-06-22,3801.79,20739.94338571921
2022-06-23,3802.58,19976.053591349224
2022-06-24,3913.65,21075.1688
2022-06-27,3927.72,21029.2163
2022-06-28,3945.86,20732.9834
2022-06-29,3836.5,20293.4508
2022-06-30,3818.99,20101.12
2022-07-01,3829.82,19816.746359929737
2022-07-05,3832.19,20255.6454
2022-07-06,3870.91,20185.96232827533
2022-07-07,3910.63,20557.53554927252
2022-07-08,3918.5,21647.165928409104
2022-07-11,3880.94,20857.655837364564
2022-07-12,3873.41,19992.2945670274
2022-07-13,3829.44,19313.260763230777
2022-07-14,3796.41,20187.1528
2022-07-15,3863.62,20587.5358
2022-07-18,3902.44,20769.40225729633
2022-07-19,3939.81,22440.036584128276
2022-07-20,3974.13,23407.3451
2022-07-21,3999.29,23244.5742
2022-07-22,4012.44,23180.0875
2022-07-25,3975.3,22600.784714066285
2022-07-26,3953.22,21340.4673
2022-07-27,4039.56,21206.715243842376
2022-07-28,4078.95,22943.12042341547
2022-07-29,4140.15,23847.01344273555
2022-08-01,4144.95,23314.4296
2022-08-02,4140.47,23311.592835340976
2022-08-03,4167.66,22963.82553778134
2022-08-04,4161.29,22812.3048
2022-08-05,4151.58,22635.52000440668
2022-08-08,4186.62,23170.70241754182
2022-08-09,4137.3,23792.955
2022-08-10,4211.03,23158.699095578173
2022-08-11,4257.91,23940.204499589338
2022-08-12,4280.47,23928.9778
2022-08-15,4301.79,24323.00216934842
2022-08-16,4325.28,24146.6057
2022-08-17,4302.18,23889.74606019501
2022-08-18,4292.53,23311.75914654047
2022-08-19,4266.31,23206.1852
2022-08-22,4195.08,21515.7063463541
2022-08-23,4159.77,21418.635
2022-08-24,4156.56,21516.130821435567
2022-08-25,4200.54,21378.104807932155
2022-08-26,4203.04,21591.284830139277
2022-08-29,4062.99,19606.7351
2022-08-30,4044.98,20280.87117577155
2022-08-31,4015.37,19768.0653
2022-09-01,3970.23,20046.9471
2022-09-02,4018.43,20145.5884
2022-09-06,3942.55,19808.0959608095
2022-09-07,3987.89,18812.061036941635
2022-09-08,4010.5,19275.303555717022
2022-09-09,4076.81,19318.4204
2022-09-12,4119.28,21789.452410620557
2022-09-13,4037.12,22387.938627526622
2022-09-14,3961.94,20172.39245600376
2022-09-15,3959.14,20251.71983492235
2022-09-16,3880.95,19662.3883
2022-09-19,3900.45,19393.59390761989
2022-09-20,3876.01,19576.637199316803
2022-09-21,3907.07,18873.2005
2022-09-22,3790.9,18501.82049448783
2022-09-23,3727.14,19429.13269379256
2022-09-26,3715.67,18814.0516
2022-09-27,3717.53,19238.7536
2022-09-28,3736.74,19098.479820191485
2022-09-29,3687.01,19399.488779047188
2022-09-30,3671.44,19593.33746227512
2022-10-03,3698.35,19035.34988309635
2022-10-04,3791.92,19610.3879
2022-10-05,3806.91,20339.726
2022-10-06,3797.93,20168.6041
2022-10-07,3706.74,19948.22190296553
2022-10-10,3652.17,19436.3351
2022-10-11,3640.66,19135.374021730353
2022-10-12,3608.34,19045.5416
2022-10-13,3685.41,19157.977348440418
2022-10-14,3712,19380.689298843845
2022-10-17,3689.73,19259.620646181156
2022-10-18,3762.79,19558.1117
2022-10-19,3728.58,19351.0697
2022-10-20,3736,19124.9892
2022-10-21,3757.89,19042.9309
2022-10-24,3810.74,19548.7249
2022-10-25,3862.85,19335.3937
2022-10-26,3886.15,20110.87556138642
2022-10-27,3859.95,20754.023972750903
2022-10-28,3905.42,20283.97974929017
2022-10-31,3893.73,20621.7479
2022-11-01,3911.79,20504.46022827177
2022-11-02,3894.44,20481.5549
2022-11-03,3750.59,20151.523076525573
2022-11-04,3796.34,20208.596506640253
2022-11-07,3813.95,20913.0539
2022-11-08,3859.4,20591.7459
2022-11-09,3818.2,18528.52092702272
2022-11-10,3958.33,15789.342422998145
2022-11-11,4001.48,17590.41467373285
2022-11-14,4008.97,16349.997597081689
2022-11-15,4028.84,16630.63746440169
2022-11-16,3983.09,16894.9265
2022-11-17,3954.33,16673.507711410086
2022-11-18,3979.89,16690.889527338422
2022-11-21,3962,16291.4477
2022-11-22,4005.88,15779.971701749892
2022-11-23,4033.78,16174.9574
2022-11-25,4034.02,16597.7313
2022-11-28,4012.27,16432.36461511383
2022-11-29,3976.77,16212.403248220657
2022-11-30,4080.11,16436.1924
2022-12-01,4100.51,17188.63467960707
2022-12-02,4080.48,16956.1893
2022-12-05,4052.45,17130.165329487445
2022-12-06,4001.51,16959.336063823
2022-12-07,3957.57,17088.37611635709
2022-12-08,3974.19,16838.047473161492
2022-12-09,3977.02,17254.841595411017
